"Commodity_Group","Commodity","MSP_2026_27","Price_13Mar2026","Price_12Mar2026","Price_11Mar2026","Arrival_13Mar2026","Arrival_12Mar2026","Arrival_11Mar2026"
"Cereals","Bajra(Pearl Millet/Cumbu)","2775","3966.21","3837.15","3799.66","81.1","60","59"
"Cereals","Jowar(Sorghum)","3699","4917.4","5750.55","5561.78","279.9","73.9","83.4"
"Cereals","Maize","2400","3239.15","3245.28","2746.32","12.9","25.4","6.8"
"Cereals","Paddy(Common)","2369","2778.45","2676.15","2699.3","309.3","502.6","220.1"
"Cereals","Ragi(Finger Millet)","4886","5400","5450","5500","0.3","0.2","0.3"
"Cereals","Wheat","2585","3651.48","3582.1","3414.35","1258.8","1114.7","1046.4"
"Fibre Crops","Cotton","7710","7948.56","7994.01","7845.71","1802.6","2977.8","1007.3"
"Oil Seeds","Groundnut","7263","8351",,,"0.4",,
"Oil Seeds","Mustard","6200","7898.82","6798.53","7730.12","21.2","47.5","8.3"
"Oil Seeds","Sesamum(Sesame,Gingelly,Til)","9846","15412.79","15106.06","15413.79","8.6","3.3","8.7"
"Oil Seeds","Soyabean","5328","5467.66","5456.5","5365.21","1990.6","2014.8","800.6"
"Pulses","Arhar(Tur/Red Gram)(Whole)","8000","8145.72","8111.43","8094.33","349.2","515.4","642.3"
"Pulses","Bengal Gram(Gram)(Whole)","5875","7431.79","7275.47","7341.98","218.8","295.4","252.8"
"Pulses","Black Gram(Urd Beans)(Whole)","7800","9263.04","9264.77","9380.39","50.6","44","5.1"
"Pulses","Green Gram(Moong)(Whole)","8768","10441.29","10434.77","10447.43","69.5","61.4","83.7"
"Pulses","Lentil(Masur)(Whole)","7000","8831.99","8753.38","8615.36","32.2","23.7","16.6"
