"State","Rice_2019_20","Wheat_2019_20","CoarseCereals_2019_20","Pulses_2019_20","TotalFoodgrains_2019_20","Demand_Proxy_TotalFoodgrains_2017_18"
"Andhra Pradesh","4868.7",,"475.6","137.7","5482","12159.8"
"Arunachal Pradesh",,,,,,"359.1"
"Assam","4013",,"99.9","44.6","4157.5","5525.9"
"Bihar","6550.9",,"565.3","57.1","7173.3","17036.9"
"Chhattisgarh","6338.2",,"327.3","73.4","6738.9","5958.7"
"Goa",,,,,,"107.8"
"Gujarat","2068.7",,"853.5","399.3","3321.5","7664.7"
"Haryana","4281.7",,"982.3","17.8","5281.8","16191.8"
"Himachal Pradesh","113.4",,"708.6","11.6","833.6","1488.3"
"Jammu & Kashmir",,,,,,"1571.1"
"Jharkhand","2991.1",,"501.5","366.9","3859.5","6001.3"
"Karnataka","2565",,"5171.5","883.8","8620.3","11791.2"
"Kerala","383.3",,"0.2","0.1","383.6","523.8"
"Madhya Pradesh","4324.7",,"5235.9","1982.5","11543.1","33450.4"
"Maharashtra","3008.3",,"2561.9","1172.4","6742.6","13246.7"
"Manipur",,,,,,"706.5"
"Meghalaya",,,,,,"361.8"
"Mizoram",,,,,,"74.2"
"Nagaland",,,,,,"552.3"
"Odisha","6276.8",,"159.4","261.3","6697.5","7151.3"
"Punjab","12427.5",,"592.3","10.4","13030.2","31691.9"
"Rajasthan","475.4",,"6086","1655.3","8216.7","19957"
"Sikkim",,,,,,"93.9"
"Tamil Nadu","4924.8",,"1510.2","121.1","6556","10713.6"
"Telangana","4405.4",,"1333.4","251.6","5990.4","9421.1"
"Tripura",,,,,,"855.3"
"Uttar Pradesh","16018",,"3506.3","620.7","20145","51369.9"
"Uttarakhand","595.1",,"286.1","39","920.2","1903.2"
"West Bengal","11325.9",,"152.6","53.1","11531.6","16877.5"
"A & N Islands",,,,,,"17"
"Chandigarh",,,,,,"0.3"
"D & N Haveli",,,,,,"35.7"
"Delhi",,,,,,"106.9"
"Daman & Diu",,,,,,"2.8"
"Puducherry",,,,,,"44.1"
"Others","2394.2",,"886.9","67.8","3349",
"All India","100350",,"31996.8","8227.6","140574.4","285013.5"
